EventYear,EventMonth,District,EventAreaCode,EventAreaDesc,EventTypeCode,EventTypeDesc,EventScenarioCode,EventScenarioDesc,GeneralAddress,CityCode,EventsNum
2022,4,דן,2168,אבטחה,2169,אורבאני,2171,אירוע המוני בשטח עירוני,תל אביב יפו,5000,3
2022,5,דן,2168,אבטחה,2169,אורבאני,2171,אירוע המוני בשטח עירוני,תל אביב יפו,5000,3
2022,6,דן,2168,אבטחה,2169,אורבאני,2171,אירוע המוני בשטח עירוני,תל אביב יפו,5000,3
2022,5,דן,2168,אבטחה,2169,אורבאני,2171,אירוע המוני בשטח עירוני,גבעתיים,6300,1
2022,5,דן,2168,אבטחה,2169,אורבאני,2171,אירוע המוני בשטח עירוני,חולון,6600,1
2022,5,דן,2168,אבטחה,2169,אורבאני,2171,אירוע המוני בשטח עירוני,רמת השרון,2650,1
2022,6,דן,2168,אבטחה,2169,אורבאני,2171,אירוע המוני בשטח עירוני,בני ברק,6100,1
2022,6,דן,2168,אבטחה,2169,אורבאני,2171,אירוע המוני בשטח עירוני,חולון,6600,1
2022,5,דן,2168,אבטחה,2169,אורבאני,2172,סיור מבצעי,תל אביב יפו,5000,14
2022,4,דן,2168,אבטחה,2169,אורבאני,2172,סיור מבצעי,תל אביב יפו,5000,11
2022,4,דן,2168,אבטחה,2169,אורבאני,2172,סיור מבצעי,בת ים,6200,8
2022,4,דן,2168,אבטחה,2169,אורבאני,2172,סיור מבצעי,חולון,6600,7
2022,5,דן,2168,אבטחה,2169,אורבאני,2172,סיור מבצעי,רמת גן,8600,6
2022,4,דן,2168,אבטחה,2169,אורבאני,2172,סיור מבצעי,גבעתיים,6300,4
2022,4,דן,2168,אבטחה,2169,אורבאני,2172,סיור מבצעי,הרצליה,6400,4
2022,4,דן,2168,אבטחה,2169,אורבאני,2172,סיור מבצעי,בני ברק,6100,3
2022,4,דן,2168,אבטחה,2169,אורבאני,2172,סיור מבצעי,רמת גן,8600,3
2022,5,דן,2168,אבטחה,2169,אורבאני,2172,סיור מבצעי,גבעתיים,6300,3
2022,5,דן,2168,אבטחה,2169,אורבאני,2172,סיור מבצעי,הרצליה,6400,3
2022,5,דן,2168,אבטחה,2169,אורבאני,2172,סיור מבצעי,חולון,6600,2
2022,6,דן,2168,אבטחה,2169,אורבאני,2172,סיור מבצעי,בת ים,6200,2
2022,6,דן,2168,אבטחה,2169,אורבאני,2172,סיור מבצעי,תל אביב יפו,5000,2
2022,4,דן,2168,אבטחה,2169,אורבאני,2172,סיור מבצעי,אור יהודה,2400,1
2022,4,דן,2168,אבטחה,2169,אורבאני,2172,סיור מבצעי,גבעת שמואל,0681,1
2022,4,דן,2168,אבטחה,2169,אורבאני,2172,סיור מבצעי,יהוד מונוסון,9400,1
2022,4,דן,2168,אבטחה,2169,אורבאני,2172,סיור מבצעי,ללא כתובת,-,1
2022,4,דן,2168,אבטחה,2169,אורבאני,2172,סיור מבצעי,סביון,0587,1
2022,5,דן,2168,אבטחה,2169,אורבאני,2172,סיור מבצעי,אזור,0565,1
2022,5,דן,2168,אבטחה,2169,אורבאני,2172,סיור מבצעי,בני ברק,6100,1
2022,5,דן,2168,אבטחה,2169,אורבאני,2172,סיור מבצעי,בת ים,6200,1
2022,6,דן,2168,אבטחה,2169,אורבאני,2172,סיור מבצעי,הרצליה,6400,1
2022,6,דן,2168,אבטחה,2169,אורבאני,2172,סיור מבצעי,חולון,6600,1
2022,6,דן,2168,אבטחה,2169,אורבאני,2172,סיור מבצעי,רמת גן,8600,1
2022,6,דן,2168,אבטחה,2169,אורבאני,2172,סיור מבצעי,רמת השרון,2650,1
2022,5,דן,2168,אבטחה,2175,שטחים פתוחים,2176,"היערכות למז""א קיצוני",תל אביב יפו,5000,4
2022,4,דן,2168,אבטחה,2175,שטחים פתוחים,2176,"היערכות למז""א קיצוני",תל אביב יפו,5000,2
2022,5,דן,2168,אבטחה,2175,שטחים פתוחים,2176,"היערכות למז""א קיצוני",בת ים,6200,2
2022,5,דן,2168,אבטחה,2175,שטחים פתוחים,2176,"היערכות למז""א קיצוני",חולון,6600,2
2022,6,דן,2168,אבטחה,2175,שטחים פתוחים,2176,"היערכות למז""א קיצוני",תל אביב יפו,5000,2
2022,4,דן,2168,אבטחה,2175,שטחים פתוחים,2176,"היערכות למז""א קיצוני",ללא כתובת,-,1
2022,5,דן,2168,אבטחה,2175,שטחים פתוחים,2176,"היערכות למז""א קיצוני",הרצליה,6400,1
2022,5,דן,2168,אבטחה,2175,שטחים פתוחים,2176,"היערכות למז""א קיצוני",רמת השרון,2650,1
2022,6,דן,2168,אבטחה,2175,שטחים פתוחים,2176,"היערכות למז""א קיצוני",בני ברק,6100,1
2022,5,דן,2168,אבטחה,2175,שטחים פתוחים,2178,סיור מבצעי,תל אביב יפו,5000,41
2022,4,דן,2168,אבטחה,2175,שטחים פתוחים,2178,סיור מבצעי,תל אביב יפו,5000,20
2022,4,דן,2168,אבטחה,2175,שטחים פתוחים,2178,סיור מבצעי,בני ברק,6100,15
2022,6,דן,2168,אבטחה,2175,שטחים פתוחים,2178,סיור מבצעי,תל אביב יפו,5000,10
2022,4,דן,2168,אבטחה,2175,שטחים פתוחים,2178,סיור מבצעי,חולון,6600,9
2022,5,דן,2168,אבטחה,2175,שטחים פתוחים,2178,סיור מבצעי,חולון,6600,9
2022,5,דן,2168,אבטחה,2175,שטחים פתוחים,2178,סיור מבצעי,בני ברק,6100,8
2022,5,דן,2168,אבטחה,2175,שטחים פתוחים,2178,סיור מבצעי,גבעתיים,6300,7
2022,5,דן,2168,אבטחה,2175,שטחים פתוחים,2178,סיור מבצעי,הרצליה,6400,6
2022,5,דן,2168,אבטחה,2175,שטחים פתוחים,2178,סיור מבצעי,סביון,0587,6
2022,5,דן,2168,אבטחה,2175,שטחים פתוחים,2178,סיור מבצעי,אור יהודה,2400,5
2022,5,דן,2168,אבטחה,2175,שטחים פתוחים,2178,סיור מבצעי,רמת גן,8600,5
2022,4,דן,2168,אבטחה,2175,שטחים פתוחים,2178,סיור מבצעי,סביון,0587,4
2022,5,דן,2168,אבטחה,2175,שטחים פתוחים,2178,סיור מבצעי,בת ים,6200,4
2022,4,דן,2168,אבטחה,2175,שטחים פתוחים,2178,סיור מבצעי,בת ים,6200,3
2022,4,דן,2168,אבטחה,2175,שטחים פתוחים,2178,סיור מבצעי,גבעתיים,6300,3
2022,5,דן,2168,אבטחה,2175,שטחים פתוחים,2178,סיור מבצעי,גבעת שמואל,0681,3
2022,4,דן,2168,אבטחה,2175,שטחים פתוחים,2178,סיור מבצעי,הרצליה,6400,2
2022,4,דן,2168,אבטחה,2175,שטחים פתוחים,2178,סיור מבצעי,רמת גן,8600,2
2022,6,דן,2168,אבטחה,2175,שטחים פתוחים,2178,סיור מבצעי,בני ברק,6100,2
2022,6,דן,2168,אבטחה,2175,שטחים פתוחים,2178,סיור מבצעי,הרצליה,6400,2
2022,6,דן,2168,אבטחה,2175,שטחים פתוחים,2178,סיור מבצעי,רמת גן,8600,2
2022,4,דן,2168,אבטחה,2175,שטחים פתוחים,2178,סיור מבצעי,גבעת שמואל,0681,1
2022,4,דן,2168,אבטחה,2175,שטחים פתוחים,2178,סיור מבצעי,יהוד,9400,1
2022,4,דן,2168,אבטחה,2175,שטחים פתוחים,2178,סיור מבצעי,ללא כתובת,-,1
